"Altitude (Km)","Geopotential Height (Km)","Temperature (°C)","Pressure (Pa)","Density (Kg m-3) ","Speed of Sound","Gravity Acceleration ","Dynamic
Viscosity (kg m-1 s-1)","Kinematic
Viscosity (m2/s)","Number
Density (m-3)","Particle
Speed (m/s)","Collision
Frequency (s-1)","Mean
free
Path (m)","Thermal
Conductivity (W / m K) ","Mol.
Weight (M)","Pressure
scale
Height (m)"
0,0,288.15,101000,1.23,340.29,9.8066,1.79E-05,1.46E-05,2.55E+25,458.94,6.92E+09,6.63E-08,0.0253,28.964,8435
5,5,255.676,54000,0.736,320.55,9.7912,1.63E-05,2.21E-05,1.53E+25,432.31,3.92E+09,1.10E-07,0.0227,28.964,7496
10,10,223.252,26500,0.414,299.53,9.7759,1.46E-05,3.53E-05,8.60E+24,403.97,2.06E+09,1.97E-07,0.0201,28.964,6555
15,15,216.65,12100,0.195,295.07,9.7605,1.42E-05,7.30E-05,4.05E+24,397.95,9.54E+08,4.17E-07,0.0195,28.964,6372
20,19.9,216.65,5530,0.0889,295.07,9.7452,1.42E-05,1.60E-04,1.85E+24,397.95,4.35E+08,9.14E-07,0.0195,28.964,6382
25,24.9,221.552,2550,0.0401,298.39,9.73,1.45E-05,3.61E-04,8.33E+23,402.43,1.99E+08,2.03E-06,0.0199,28.964,6536
30,29.9,226.509,1200,0.0184,301.71,9.7147,1.48E-05,8.01E-04,3.83E+23,406.91,9.22E+07,4.41E-06,0.0203,28.964,6693
35,34.8,236.513,575,0.00846,308.3,9.6995,1.53E-05,1.81E-03,1.76E+23,415.79,4.33E+07,9.60E-06,0.0212,28.964,6999
40,39.7,250.35,287,0.004,317.19,9.6844,1.6E-05,4.01E-03,8.31E+22,427.78,2.10E+07,2.03E-05,0.0223,28.964,7421
45,44.7,264.164,149,0.00197,325.82,9.6693,1.67E-05,8.50E-03,4.09E+22,439.43,1.06E+07,4.13E-05,0.0234,28.964,7842
50,49.6,270.65,79.8,0.00103,329.8,9.6542,1.7E-05,1.66E-02,2.14E+22,444.79,5.62E+06,7.91E-05,0.0239,28.964,8047
55,54.5,260.771,42.5,0.000568,323.72,9.6391,1.65E-05,2.91E-02,1.18E+22,436.6,3.05E+06,1.43E-04,0.0231,28.964,7766
